"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$50,000 - $74,999"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$75,000 or greater"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Data not reported"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Less than $15,000"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$15,000 - $24,999"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$25,000 - $34,999"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$35,000 - $49,999"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$50,000 - $74,999"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$75,000 or greater"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Data not reported"
2011,"Puerto Rico",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Less than $15,000"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$15,000 - $24,999"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$25,000 - $34,999"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$35,000 - $49,999"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$50,000 - $74,999"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$75,000 or greater"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Data not reported"
2011,"Virgin Islands",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","Less than $15,000"
2011,"Alabama",31.9,"",1367,"Income","$15,000 - $24,999"
2011,"Alabama",35.7,"",757,"Income","$25,000 - $34,999"
2011,"Alabama",36.6,"",861,"Income","$35,000 - $49,999"
2011,"Alabama",36.1,"",785,"Income","$50,000 - $74,999"
2011,"Alabama",38.5,"",1125,"Income","$75,000 or greater"
2011,"Alabama",36,"",1297,"Income","Data not reported"
2011,"Alabama",28.4,"",1112,"Income","Less than $15,000"
2011,"Alaska",33.5,"",377,"Income","$15,000 - $24,999"
2011,"Alaska",38.1,"",224,"Income","$25,000 - $34,999"
2011,"Alaska",42.3,"",397,"Income","$35,000 - $49,999"
2011,"Alaska",41.6,"",524,"Income","$50,000 - $74,999"
2011,"Alaska",39.9,"",1109,"Income","$75,000 or greater"
2011,"Alaska",43.7,"",434,"Income","Data not reported"
2011,"Alaska",24.6,"",271,"Income","Less than $15,000"
2011,"Arizona",34.9,"",1030,"Income","$15,000 - $24,999"
2011,"Arizona",37.2,"",634,"Income","$25,000 - $34,999"
2011,"Arizona",43.6,"",809,"Income","$35,000 - $49,999"
2011,"Arizona",39,"",806,"Income","$50,000 - $74,999"
2011,"Arizona",38.4,"",1138,"Income","$75,000 or greater"
2011,"Arizona",41.5,"",826,"Income","Data not reported"
2011,"Arizona",29.5,"",738,"Income","Less than $15,000"
2011,"Arkansas",30.4,"",860,"Income","$15,000 - $24,999"
2011,"Arkansas",30.3,"",524,"Income","$25,000 - $34,999"
2011,"Arkansas",33.6,"",564,"Income","$35,000 - $49,999"
2011,"Arkansas",39.6,"",528,"Income","$50,000 - $74,999"
